fid,id,Carb.m1,B12,B11,B8A,B7,B6,B5,WVP,B8,B4,B3,B2,AOT
"825","826",0.8641479197,1446,2327,2773,2502,2054,910,2167,2622,518,516,328,78
"826","827",0.8641479197,1391,2238,2789,2503,2052,887,2140,2680,497,511,324,78
"827","828",1.123392296,1405,2213,2766,2512,2045,857,2129,2654,491,498,327,78
"828","829",1.036977504,1680,2392,2717,2474,2053,989,2086,2564,565,586,417,78
"829","830",0.6083601355,2018,2664,2903,2703,2275,1239,2114,2658,917,868,602,78
"830","831",0.6083601355,1267,2046,2780,2521,2013,785,2172,2600,437,458,296,78
"831","832",0.8641479197,1422,2281,2845,2637,2098,952,2185,2854,449,492,309,78
"832","833",0.9505627117,1564,2425,2889,2630,2174,1008,2183,2718,583,561,345,78
"833","834",0.6636656023,1384,2234,2757,2475,2031,856,2160,2620,505,501,329,78
"834","835",0.6083601355,1379,2245,2756,2513,2011,861,2191,2620,464,487,312,78
"835","836",0.5530546686,1395,2247,2707,2469,1994,859,2165,2524,434,460,275,78
"836","837",1.036977504,1390,2203,2710,2486,1979,818,2162,2532,429,442,292,78
"837","838",0.6083601355,1390,2214,2734,2493,2011,851,2183,2578,463,480,292,78
"838","839",0.5530546686,1291,2061,2763,2529,2047,780,2175,2620,430,437,265,78
"839","840",0.6083601355,1173,1947,2783,2552,2033,708,2228,2756,307,359,248,78
"840","841",0.9505627117,1607,2358,2703,2450,2027,944,2097,2524,601,594,409,78
"841","842",0.6636656023,1167,1937,2767,2544,2026,688,2158,2602,409,450,296,78
"842","843",1.493247605,1127,1895,2794,2552,2025,666,2185,2706,305,362,226,78
"843","844",0.05530546686,1296,2068,2740,2482,1959,758,2172,2600,435,459,296,78
"844","845",0.9505627117,1276,2036,2763,2527,1977,735,2156,2574,360,400,244,78
"845","846",0.5530546686,1350,2111,2675,2459,1957,796,2162,2544,438,458,270,78
"846","847",0.6083601355,1345,2160,2633,2407,1924,773,2092,2500,436,451,282,78
"847","848",0.8641479197,1322,2108,2605,2404,1920,742,2092,2470,410,413,264,78
"848","849",1.036977504,1259,2030,2768,2540,2005,732,2140,2678,369,405,258,78
"849","850",0.5530546686,1531,2313,2724,2523,2077,906,2156,2714,604,606,379,78
"850","851",0.4977492017,1296,2068,2740,2482,1959,758,2172,2590,361,417,243,78
"851","852",1.036977504,1065,1860,2974,2681,2080,634,2209,2866,275,352,223,78
"852","853",1.036977504,1676,2232,2722,2478,2029,960,2104,2566,371,421,270,78
"853","854",0.6636656023,1103,1828,2832,2614,2026,647,2228,2558,332,369,232,78
"854","855",0.5530546686,1311,2056,2655,2462,1984,805,2179,2482,412,420,293,78
"855","856",1.036977504,1304,2105,2710,2489,1979,784,2163,2556,359,396,247,78
"856","857",0.4977492017,1376,2165,2679,2458,1989,791,2139,2508,452,468,285,78
"857","858",1.493247605,1272,2054,2697,2488,1989,740,2134,2548,365,410,243,78
"858","859",0.6636656023,1466,2318,3240,2970,2382,992,2206,2894,740,772,509,78
"859","860",0.6636656023,1846,2689,2793,2531,2093,1305,2081,2468,826,735,526,78
"860","861",0.9505627117,1242,2019,2734,2496,1940,696,2130,2642,349,378,232,78
"861","862",0.3110932511,1445,2284,2721,2456,1990,839,2139,2580,486,455,278,78
"862","863",0.9505627117,1314,2157,2789,2546,2040,786,2191,2602,384,409,252,78
"863","864",0.4977492017,1290,2096,2786,2505,2033,787,2216,2610,426,449,272,78
"864","865",1.036977504,1391,2261,2872,2621,2127,852,2203,2742,460,478,291,78
"865","866",1.244373004,1379,2228,2830,2606,2091,830,2228,2674,482,484,295,78
"866","867",0.5530546686,1372,2219,2734,2471,2009,845,2213,2622,484,479,292,78
"867","868",0.9505627117,1391,2261,2872,2621,2127,852,2203,2696,454,470,283,78
"868","869",1.493247605,1498,2376,2874,2621,2138,923,2167,2684,482,477,302,78
"869","870",1.493247605,1284,2101,2938,2659,2152,807,2194,2766,440,448,286,78
"870","871",0.9505627117,1127,2070,3134,2832,2345,735,2182,3086,311,426,235,78
"871","872",1.368810305,1489,2261,3142,2839,2214,973,2206,2962,385,466,256,78
"872","873",0.8641479197,1169,2170,3239,2932,2335,831,2194,2858,431,466,288,78
"873","874",0.8641479197,1556,2414,2942,2688,2197,988,2175,2728,507,511,321,78
"874","875",0.8641479197,1391,2261,2872,2621,2127,852,2203,2700,468,483,309,78
"875","876",1.244373004,1371,2254,2844,2563,2080,842,2211,2702,478,457,276,78
"876","877",0.6636656023,1543,2347,3114,2830,2262,922,2255,2800,562,514,335,78
"877","878",0.8641479197,1448,2340,2809,2556,2082,918,2211,2658,525,531,322,78
"878","879",0.9505627117,1372,2250,2892,2643,2152,867,2201,2728,486,483,305,78
"880","881",0.5530546686,1691,2463,2899,2654,2196,1127,2135,2770,592,578,359,78
"881","882",1.036977504,1601,2383,3109,2903,2320,977,2172,3042,465,529,321,78
"882","883",1.368810305,1259,2030,2768,2540,2005,732,2140,2646,374,400,246,78
"883","884",1.368810305,1691,2463,2899,2654,2196,1127,2135,2820,663,642,412,78
"884","885",0.8641479197,1494,2392,2944,2672,2206,880,2135,2876,419,462,289,78
"885","886",0.7777331277,1431,2307,2879,2607,2144,909,2184,2736,473,487,295,78
"886","887",1.368810305,1681,2459,2919,2606,2122,995,2252,2636,554,529,351,78
"887","888",0.6636656023,1622,2417,2854,2648,2127,934,2221,2774,588,524,330,78
"888","889",1.244373004,1396,2286,2923,2651,2111,865,2156,2724,478,487,298,78
"889","890",1.368810305,1526,2363,2951,2676,2145,957,2152,2718,450,451,281,78
"890","891",0.6083601355,1777,2570,3053,2809,2362,1082,2158,2880,483,526,342,78
"891","892",1.036977504,1548,2434,2865,2564,2099,882,2184,2740,521,505,307,78
"892","893",1.036977504,1827,2525,2939,2721,2241,1120,2205,2956,809,698,455,78
"893","894",0.8641479197,1827,2525,2939,2721,2241,1120,2205,2714,632,610,398,78
